Name,Location,City,P.O Box,Phone,Mobile,Company page link,Logo url
Abdulla Zaid Restaurant,"Next to Al Shook Recording, Al Sham","Ras Al Khaimah, UAE",6744,+97172666693,N/A,https://www.yellowpages-uae.com/abdulla-zaid-restaurant-134635.html,N/A
Abdullas Food Court,"US Accommodation, JAFZA","Jebel Ali, UAE",18009,+97148833115,N/A,https://www.yellowpages-uae.com/abdullas-food-court-148309.html,N/A
Abeer Cafeteria,"Al Rafaa Rd, Bur Dubai","Dubai, UAE",N/A,+97143557715,+971505284843,https://www.yellowpages-uae.com/abeer-cafeteria-172952.html,N/A
Abshar Iranian Restaurant,Jumeirah,"Dubai, UAE",56484,+97143940950,N/A,https://www.yellowpages-uae.com/abshar-iranian-sweets-llc--149341.html,N/A
Abshar Restaurant LLC,"Al Butin Plaza, Al Maktoum St, Deira","Dubai, UAE",63788,+97142230555,N/A,https://www.yellowpages-uae.com/abshar-restaurant-llc-122743.html,N/A
Abu Fadi Restaurant,Jamal Abdel Naser St,"Sharjah, UAE",82122,+97165535702,N/A,https://www.yellowpages-uae.com/abu-fadi-restaurant-151047.html,N/A
Abu Hamdan Catering Services LLC,"1st Floor, M-36, Abu Hamdan Building, Near Car Taxi, Musaffah","Abu Dhabi, UAE",37471,+97125575757,N/A,https://www.yellowpages-uae.com/abu-hamdan-catering-services-llc-154130.html,N/A
Abu Khalid Restaurant,"Sona Bazaar, Park Rd","Fujairah, UAE",456,+97192224592,N/A,https://www.yellowpages-uae.com/abu-khalid-restaurant-138876.html,N/A
Abu Nasar Restaurant,TCA,"Abu Dhabi, UAE",N/A,+97126452229,N/A,https://www.yellowpages-uae.com/abu-nasar-restaurant-147960.html,N/A
Abu Shakra Restaurant,Istiqlal St,"Abu Dhabi, UAE",8090,+97126313400,N/A,https://www.yellowpages-uae.com/abu-shakra-restaurant-128470.html,N/A
Accuro Specialist Support Services,Dubai Investment Park - 2,"Dubai, UAE",283923,+97148071900,N/A,https://www.yellowpages-uae.com/accuro-specialist-support-services-160593.html,N/A
Afamia Al Shaam,Khalifa,"Abu Dhabi, UAE",N/A,+97125526630,N/A,https://www.yellowpages-uae.com/afamia-al-shaam-102712.html,N/A
Afdal Restaurant and Grill,Muroor Rd,"Abu Dhabi, UAE",55204,+97124493916,N/A,https://www.yellowpages-uae.com/afdal-restaurant-and-grill-123500.html,N/A
Afghan Darbar Restaurant LLC,"Near Mubarak Centre, Al Nabbah Area","Sharjah, UAE",40179,+97165638761,N/A,https://www.yellowpages-uae.com/afghan-darbar-restaurant-llc-147100.html,N/A
Agemono Restaurant,"Al Khail Mall, Al Quoz Indl Area","Dubai, UAE",124145,+97143397925,N/A,https://www.yellowpages-uae.com/agemono-restaurant-132116.html,N/A
Ahl Almandi Restaurant,"Near NMC Hospital, Amman Rd, Al Nahda 2","Dubai, UAE",N/A,+97142574448,N/A,https://www.yellowpages-uae.com/ahl-almandi-restaurant-68506.html,N/A
Ahmed Al Arab Restaurant,Muroor Rd,"Abu Dhabi, UAE",70112,+97124431848,N/A,https://www.yellowpages-uae.com/ahmed-al-arab-restaurant-118134.html,N/A
Airlines Restaurant,Hamdan St,"Abu Dhabi, UAE",4862,+97126335214,N/A,https://www.yellowpages-uae.com/airlines-restaurant-104292.html,N/A
Ajman Spring Restaurant & Grills,Opp Ajman Traffic Police Dept,"Ajman, UAE",2,+97167462277,N/A,https://www.yellowpages-uae.com/ajman-spring-restaurant-grills-176924.html,N/A
Akher Saa Restaurant,Jamal Abdul Nasir Street,"Sharjah, UAE",N/A,+97165501999,N/A,https://www.yellowpages-uae.com/akher-saa-restaurant-103615.html,N/A
Al Abraj Restaurant,"Bhnd Joy Alukkas, Rolla","Sharjah, UAE",2907,+97165615335,N/A,https://www.yellowpages-uae.com/al-abraj-restaurant-68587.html,N/A
Al Afghani Al Khas Lil Kabab Restaurant LLC,"Fathima Hamdan Bin Kadim Bldg, Al Qasimiya St, Abu Shaghara","Sharjah, UAE",N/A,+97165506674,N/A,https://www.yellowpages-uae.com/al-afghani-al-khas-lil-kabab-restaurant-llc-103485.html,N/A
Al Afrah Al Thahabya Restaurant LLC,"Near Mega Mall, Abu Shagara","Sharjah, UAE",N/A,+97165512323,+971562402323,https://www.yellowpages-uae.com/al-afrah-al-thahabya-restaurant-llc-175370.html,N/A
Al Ain Restaurant,"Next KFC, Airport Rd","Abu Dhabi, UAE",25361,+97126422507,N/A,https://www.yellowpages-uae.com/al-ain-restaurant-129027.html,N/A
Al Akhwan Restaurant,N/A,"Dubai, UAE",N/A,+97142621704,N/A,https://www.yellowpages-uae.com/al-akhwan-restaurant-146795.html,N/A
Al Akl Al Har Restaurant LLC,"Shop 2 & 3, Al Qassimiya","Sharjah, UAE",30459,+97165507939,N/A,https://www.yellowpages-uae.com/al-akl-al-har-restaurant-llc-148014.html,N/A
Al Amoor Restaurant,Al Quoz Indl Area,"Dubai, UAE",N/A,+97143470787,+97100 2526667,https://www.yellowpages-uae.com/al-amoor-restaurant-175202.html,N/A
Al Anood Restaurant,"Near Asmara S/Market, Al Mamoorah","Ras Al Khaimah, UAE",12242,+97172236516,N/A,https://www.yellowpages-uae.com/al-anood-restaurant-138539.html,N/A
Al Arrab Restaurant,Dubai Silicon Oasis Authority,"Dubai, UAE",19492,+97143264949,N/A,https://www.yellowpages-uae.com/al-arrab-restaurant-153642.html,N/A
Al Aumdah Restaurant,"Al Mamzar Building, Abu Hail","Dubai, UAE",N/A,+97142667749,+971503799440,https://www.yellowpages-uae.com/al-aumdah-restaurant-175275.html,N/A
Al Ayoubia Restaurant,Al Nasr St,"Abu Dhabi, UAE",71955,+97126215242,N/A,https://www.yellowpages-uae.com/al-ayoubia-restaurant-138785.html,N/A
Al Badawi Restaurant,Jamal Abdul Nasir Street,"Sharjah, UAE",N/A,+97165444066,N/A,https://www.yellowpages-uae.com/al-badawi-restaurant-103619.html,N/A
Al Bait Al Malaky Mandi Restaurant,"Opp Safeer Mall, Ittihad Road","Sharjah, UAE",N/A,+97165256663,+97155350075,https://www.yellowpages-uae.com/al-bait-al-malaky-mandi-restaurant-175596.html,N/A
Al Banadir Family Restaurant LLC,"Near Manama Center, Fire Stn R/A","Sharjah, UAE",N/A,+97165628928,N/A,https://www.yellowpages-uae.com/al-banadir-family-restaurant-llc-151044.html,N/A
Al Barakah Restaurant,"Near Natl S/Market, Rams Rd","Ras Al Khaimah, UAE",4612,+97172238349,N/A,https://www.yellowpages-uae.com/al-barakah-restaurant-134324.html,N/A
Al Bawadir Restaurant,N/A,"Sharjah, UAE",70803,+97165515957,N/A,https://www.yellowpages-uae.com/al-bawadir-restaurant-147687.html,N/A
Al Bayan Purification and Potable Water LLC,Mussafah Indl Area,"Abu Dhabi, UAE",51845,+97125510370,N/A,https://www.yellowpages-uae.com/al-bayan-purification-and-potable-water-llc-106237.html,N/A
Al Bustan Hotel,"Near Immigration Office, Al Kuwait Rd","Sharjah, UAE",6006,+97165731555,N/A,https://www.yellowpages-uae.com/al-bustan-hotel-113458.html,N/A
Al Bustan Restaurant,Al Etihad Rd,"Umm Al Quwain, UAE",505,+97167670077,N/A,https://www.yellowpages-uae.com/al-bustan-restaurant-149782.html,N/A
Al Daba Restaurant,"Near Moonlight S/Market, Julphar Rd, Julan","Ras Al Khaimah, UAE",4803,+97172238610,N/A,https://www.yellowpages-uae.com/al-daba-restaurant-138076.html,N/A
Al Dahleez Restaurant,Garhoud,"Dubai, UAE",37137,+97142823922,N/A,https://www.yellowpages-uae.com/al-dahleez-restaurant-127755.html,N/A
Al Diar Siji Hotel,"Next to Fujairah Trade Centre, Beside Etisalat Bldg","Fujairah, UAE",1199,+97192232000,N/A,https://www.yellowpages-uae.com/al-diar-siji-hotel-117567.html,N/A
Al Fakher Mandi & Traditional Restaurant,"Behind Labour Ministry, Hor Al Anz","Dubai, UAE",N/A,+97142664660,+971505712126,https://www.yellowpages-uae.com/al-fakher-mandi-traditional-restaurant-172953.html,N/A
Al Falah Cafeteria,Abu Shagara,"Sharjah, UAE",N/A,+97165482275,+971553587798,https://www.yellowpages-uae.com/al-falah-cafeteria-175213.html,N/A
Al Falah Restaurant and Cafeteria,Al Salam Road,"Fujairah, UAE",N/A,+97192235151,N/A,https://www.yellowpages-uae.com/al-falah-restaurant-and-cafeteria-178652.html,N/A
Al Falak Restaurant,"Baladiya Building, Near Wadi 28, Al Maqam","Al Ain, UAE",3232,+97137681200,+971506732325,https://www.yellowpages-uae.com/al-falak-restaurant-173331.html,N/A
Al Falasi Restaurant & Cafeteria,Al Ghusais,"Dubai, UAE",18977,+97142673141,N/A,https://www.yellowpages-uae.com/al-falasi-restaurant-cafeteria-103525.html,N/A
Al Fanar Restaurant,"Near Ritz Carlton, Vietnam Village","Abu Dhabi, UAE",N/A,+97124481144,N/A,https://www.yellowpages-uae.com/al-fanar-restaurant-175608.html,N/A
Al Farah Pastry & Grills,"Behind Crown Plaza, Hamdan Street","Abu Dhabi, UAE",N/A,+97126333777,N/A,https://www.yellowpages-uae.com/al-farah-pastry-grills-175507.html,N/A
Al Fareej Restaurant,"Near Etisalat Office, Hamdan Street","Abu Dhabi, UAE",N/A,+97126393335,+971553735435,https://www.yellowpages-uae.com/al-fareej-restaurant-175552.html,N/A
Al Faris Restaurant,"Opp Old Fire Brigade, Al Muntazar Rd","Ras Al Khaimah, UAE",10308,+97172285682,N/A,https://www.yellowpages-uae.com/al-faris-restaurant-134642.html,N/A
Al Fujairah Restaurant,Electra Rd,"Abu Dhabi, UAE",36874,+97126782973,N/A,https://www.yellowpages-uae.com/al-fujairah-restaurant-138806.html,N/A
Al Fursan,"Near Fire Station, Dibba","Fujairah, UAE",13227,+97192443211,N/A,https://www.yellowpages-uae.com/al-fursan-146592.html,N/A
Al Ghub Restaurant,"Bin Sultan Rd, Mamourah","Ras Al Khaimah, UAE",5410,+97172282959,N/A,https://www.yellowpages-uae.com/al-ghub-restaurant-134251.html,N/A
Al Grissino,DIFC,"Dubai, UAE",N/A,+97143524000,N/A,https://www.yellowpages-uae.com/al-grissino-175790.html,N/A
Al Habsha Restaurant,"Behind KIA Showroom, TCA","Abu Dhabi, UAE",N/A,+97126770014,N/A,https://www.yellowpages-uae.com/al-habsha-restaurant-175521.html,N/A
Al Hadheeth Restaurant,"Near Rotana Hotel, Nabaa","Sharjah, UAE",96159,+97165632275,N/A,https://www.yellowpages-uae.com/al-hadheeth-restaurant-148166.html,N/A
Al Hajis Cafeteria and Restaurant,"Sunshine Bldg, Near Al Tayer Motors, Al Garhoud","Dubai, UAE",57671,+97142868244,N/A,https://www.yellowpages-uae.com/al-hajis-cafeteria-and-restaurant-136247.html,N/A
Al Hakorah Restaurant & Catering,Salam St,"Abu Dhabi, UAE",4602,+97126447979,N/A,https://www.yellowpages-uae.com/al-hakorah-restaurant-catering-164760.html,N/A
Al Hallab Restaurant and Sweets LLC,Al Garhoud,"Dubai, UAE",40350,+97142823388,N/A,https://www.yellowpages-uae.com/al-hallab-restaurant-and-sweets-llc-128203.html,N/A
Al Hamadi Restaurant,"Al Hamra, Jazeera","Ras Al Khaimah, UAE",6487,+97172445416,N/A,https://www.yellowpages-uae.com/al-hamadi-restaurant-135408.html,N/A
Al Haram Restaurant,"Near Emarat Petrol Pump, Bazaar Area","Umm Al Quwain, UAE",213,+97167656965,N/A,https://www.yellowpages-uae.com/al-haram-restaurant-45179.html,N/A
Al Heel Rest and Catering,Khalidia,"Abu Dhabi, UAE",480,+97126215116,N/A,https://www.yellowpages-uae.com/al-heel-rest-and-catering-135552.html,N/A
Al Hulmiah Restaurant,"Near Liberty Signal, Al Wahda St","Sharjah, UAE",N/A,+97165259382,N/A,https://www.yellowpages-uae.com/al-hulmiah-restaurant-103484.html,N/A
Al Ibrahimi Palace Restaurant,"Opp New Burjuman Centre, Karama","Dubai, UAE",N/A,+97143977070,N/A,https://www.yellowpages-uae.com/al-ibrahimi-palace-restaurant-175206.html,N/A
Al Ibtihal Restaurant,N/A,"Dubai, UAE",N/A,+97143311170,N/A,https://www.yellowpages-uae.com/al-ibtihal-restaurant-151051.html,N/A
Al Ijaza Cafeteria,"Beach Road, Jumeirah 1","Dubai, UAE",N/A,+97143444874,+971503444874,https://www.yellowpages-uae.com/al-ijaza-cafeteria-175650.html,N/A
Al Insaf Al Afghani Restaurant,"Near Mubarak Centre, Al Nabba, Rolla","Sharjah, UAE",4362,+97165618840,N/A,https://www.yellowpages-uae.com/al-insaf-al-afghani-restaurant-147068.html,N/A
Al Insha Restaurant,"Opp Emirates Islamic Bank, Near National Paints, Kalba Rd","Sharjah, UAE",N/A,+97165358438,N/A,https://www.yellowpages-uae.com/al-insha-restaurant-147388.html,N/A
Al Irshad Restaurant,Khabisi Area,"Al Ain, UAE",67394,+97137620492,N/A,https://www.yellowpages-uae.com/al-irshad-restaurant-129163.html,N/A
Al Ishbaa Restaurant,Near Mussalla Park,"Sharjah, UAE",N/A,+97165620410,N/A,https://www.yellowpages-uae.com/al-ishbaa-restaurant-144273.html,N/A
"Al Islami Foods Co, ( Al Farooj Head Office)",N/A,"Jebel Ali, UAE",21984,N/A,N/A,https://www.yellowpages-uae.com/al-islami-foods-co-al-farooj-head-office--146310.html,N/A
Al Joory Hyderabadi Restaurant,"Near Old Honda S/R, Abu Shagara","Sharjah, UAE",N/A,+97165447373,+971506424016,https://www.yellowpages-uae.com/al-joory-hyderabadi-restaurant-175363.html,N/A
Al Kabab Al Afghani Al Jadeed Restaurant,"Opp Sadaf Rest, Al Marija St, Mena Rd","Sharjah, UAE",N/A,+97160522554,N/A,https://www.yellowpages-uae.com/al-kabab-al-afghani-al-jadeed-restaurant-147102.html,N/A
Al Kabab Al Laziz Afghani Rest LLC,"Near Zulekha Hospital, Al Zahra St, Nasiriya","Sharjah, UAE",N/A,+97165656127,N/A,https://www.yellowpages-uae.com/al-kabab-al-laziz-afghani-rest-llc-148016.html,N/A
Al Karnak,Al Diyafa,"Dubai, UAE",N/A,+97143980123,N/A,https://www.yellowpages-uae.com/al-karnak-103610.html,N/A
Al Khaial Cafeteria & Restaurant,"Al Mamzar Building, Bhnd Public Library","Dubai, UAE",N/A,+97142628781,+971524507925,https://www.yellowpages-uae.com/al-khaial-cafeteria-restaurant-172954.html,N/A
Al Khaja Group,N/A,"Dubai, UAE",5060,+97143808787,N/A,https://www.yellowpages-uae.com/al-khaja-group-152652.html,N/A
Al Khaja Hospitality,Deira,"Dubai, UAE",5060,+97142973000,N/A,https://www.yellowpages-uae.com/al-khaja-hospitality-113662.html,N/A
Al Khaleej Al Arabi Pastry,N/A,"Sharjah, UAE",N/A,+97165368950,+971509781207,https://www.yellowpages-uae.com/al-khaleej-al-arabi-pastry-175234.html,N/A
Al Khaleej Al Latheethah Pastry,Al Buhaira,"Sharjah, UAE",N/A,+97165564443,N/A,https://www.yellowpages-uae.com/al-khaleej-al-latheethah-pastry-145530.html,N/A
Al Khiyma Restaurant,"Near Sahara Centre, Al Nahda St","Sharjah, UAE",21107,+97165314858,N/A,https://www.yellowpages-uae.com/al-khiyma-restaurant-136501.html,N/A
Al Khoor Restaurant,"Bhnd Old Sharjah Cinema, Rolla","Sharjah, UAE",20164,+97165681059,N/A,https://www.yellowpages-uae.com/al-khoor-restaurant-129363.html,N/A
Al Kurup Restaurant,"Near Taxi Station, Industrial Area","Umm Al Quwain, UAE",387,+97167664386,N/A,https://www.yellowpages-uae.com/al-kurup-restaurant-45183.html,N/A
Al Maharah Restaurant,"Opp Al Majaz Park, Al Wahda St","Sharjah, UAE",23935,+97165599554,N/A,https://www.yellowpages-uae.com/al-maharah-restaurant-106286.html,N/A
Al Majas Restaurant LLC,Bur Dubai,"Dubai, UAE",102995,+97143930042,+971554469185,https://www.yellowpages-uae.com/al-majas-restaurant-llc-175225.html,N/A
Al Malaki Rajasthan Restaurant,"Near Wafa Supermarket, National Paint","Sharjah, UAE",25648,+97165340441,N/A,https://www.yellowpages-uae.com/al-malaki-rajasthan-restaurant-147202.html,N/A
Al Mallas,"Jumeirah St, Umm Suqeim 2","Dubai, UAE",N/A,+97100625527,N/A,https://www.yellowpages-uae.com/al-mallas-148174.html,N/A
Al Manbar Cafeteria,"Near Fire Station, Muwaileh","Sharjah, UAE",N/A,+97165356919,N/A,https://www.yellowpages-uae.com/al-manbar-cafeteria-147103.html,N/A
Al Manbar Restaurant & Cafeteria,"Near Fair Point, Kalba Rd, Indl Area 17","Sharjah, UAE",N/A,+97165359454,N/A,https://www.yellowpages-uae.com/al-manbar-restaurant-cafeteria-147657.html,N/A
Al Mansoori Restaurant,Khalidiya,"Abu Dhabi, UAE",42756,+97126219001,N/A,https://www.yellowpages-uae.com/al-mansoori-restaurant-126752.html,N/A
Al Marasim Al Afghani Restaurant,"Near KM Trading, Opp Tasheel. Abu Shagara","Sharjah, UAE",N/A,+97165599356,+971555591417,https://www.yellowpages-uae.com/al-marasim-al-afghani-restaurant-175591.html,N/A
Al Mathaq Al Shamsi Restaurant,"Frij Murar, Deira","Dubai, UAE",N/A,+97142711945,+971501596211,https://www.yellowpages-uae.com/al-mathaq-al-shamsi-restaurant-175204.html,N/A
Al Mayass Restaurant,Abu Dhabi Corniche,"Abu Dhabi, UAE",N/A,+97126440440,N/A,https://www.yellowpages-uae.com/al-mayass-restaurant-175666.html,N/A
Al Minar Restaurant,Deira,"Dubai, UAE",N/A,+97142222622,N/A,https://www.yellowpages-uae.com/al-minar-restaurant-147690.html,N/A
Al Misyal Bar,Liwa,"Abu Dhabi, UAE",N/A,+97128822000,N/A,https://www.yellowpages-uae.com/al-misyal-bar-151062.html,N/A
Al Mobile Restaurant,"Bhnd Central Bank, Abu Shagara","Sharjah, UAE",N/A,+97165593398,N/A,https://www.yellowpages-uae.com/al-mobile-restaurant-148303.html,N/A
Al Nafoora Restaurant - Coral Deira Dubai,Al Muraqabbat Road,"Dubai, UAE",82999,+97142128268,N/A,https://www.yellowpages-uae.com/al-nafoora-restaurant-coral-deira-dubai-148974.html,N/A
Al Nahda Palace LLC,Al Nahda,"Sharjah, UAE",N/A,+97165454422,N/A,https://www.yellowpages-uae.com/al-nahda-palace-llc-103632.html,N/A
Al Nakheel Lounge - Grand Hyatt Dubai,Nakheel,"Dubai, UAE",7978,+97143171100,N/A,https://www.yellowpages-uae.com/al-nakheel-lounge-grand-hyatt-dubai-122465.html,N/A
Al Naseem Al Akhdar Restaurant,"Behind Fortune Hotel, Naif","Dubai, UAE",N/A,+97142233661,N/A,https://www.yellowpages-uae.com/al-naseem-al-akhdar-restaurant-175250.html,N/A
Al Nashmi Restaurant,"Behind UAE Exchange, Bur Dubai","Dubai, UAE",N/A,+97143539926,+971502589257,https://www.yellowpages-uae.com/al-nashmi-restaurant-175580.html,N/A
Al Nasr Cinema Restaurant,"Lulu Village, Muhaisnah, Qusais","Dubai, UAE",7135,+97142641925,N/A,https://www.yellowpages-uae.com/al-nasr-cinema-restaurant-117807.html,N/A
Al Nasr Restaurant,"R/A 5, Jebel Ali Free Zone","Jebel Ali, UAE",16837,+97148818600,N/A,https://www.yellowpages-uae.com/al-nasr-restaurant-113698.html,N/A
Al Nedaa Cafeteria,Bur Dubai,"Dubai, UAE",85549,+97143593136,N/A,https://www.yellowpages-uae.com/al-nedaa-cafeteria-117716.html,N/A
Al Noaman Restaurant and Cafeteria,"Sh Ahmed Bin Mohd Sharqi Road, Dibba Al Fujairah","Dibba, UAE",12134,+97192441404,N/A,https://www.yellowpages-uae.com/al-noaman-restaurant-and-cafeteria-59191.html,N/A
Al Nouman Rest and Catering,Dibba,"Fujairah, UAE",13124,+97192441404,N/A,https://www.yellowpages-uae.com/al-nouman-rest-and-catering-131600.html,N/A
Al Omara Al Jadeed Restaurant,"Near Main Gate, R/A 5, Jebel Ali Free Zone","Jebel Ali, UAE",16837,+97148818518,N/A,https://www.yellowpages-uae.com/al-omara-al-jadeed-restaurant-119548.html,N/A
Al Qabael Restaurant,Al Quoz 3,"Dubai, UAE",11780,+97143392633,N/A,https://www.yellowpages-uae.com/al-qabael-restaurant-111850.html,N/A
Al Qantarah Restaurant,Al Nahda,"Sharjah, UAE",N/A,+97165316696,N/A,https://www.yellowpages-uae.com/al-qantarah-restaurant-147668.html,N/A
Al Qasaba Restaurant,Al Zahara,"Ajman, UAE",1259,+97167431383,N/A,https://www.yellowpages-uae.com/al-qasaba-restaurant-117300.html,N/A
Al Qasr Grills,TCA,"Abu Dhabi, UAE",45240,+97126449933,N/A,https://www.yellowpages-uae.com/al-qasr-grills-102718.html,N/A
Al Qubtan Restaurant,N/A,"Dubai, UAE",36093,+97142850530,N/A,https://www.yellowpages-uae.com/al-qubtan-restaurant-151882.html,N/A
Al Rabash Mandi Restaurant,Al Nahda,"Dubai, UAE",N/A,+97142344455,N/A,https://www.yellowpages-uae.com/al-rabash-mandi-restaurant-68521.html,N/A
Al Raousha Restaurant & Grills,"Behind First Abu Dhabi Bank, Near Al Noor Hospital, Khalifa Street, Al Markaziya","Abu Dhabi, UAE",N/A,+97126272637,N/A,https://www.yellowpages-uae.com/al-raousha-restaurant-grills-175535.html,N/A
Al Rawaq,Liwa,"Abu Dhabi, UAE",N/A,+97128822000,N/A,https://www.yellowpages-uae.com/al-rawaq-151063.html,N/A
Al Razooqi Restaurant,Al Quoz,"Dubai, UAE",N/A,+97143383183,N/A,https://www.yellowpages-uae.com/al-razooqi-restaurant-147697.html,N/A
Al Reef Al Yamani Restaurant & Bakeries,Abu Hail,"Dubai, UAE",N/A,+97142699910,+971559544426,https://www.yellowpages-uae.com/al-reef-al-yamani-restaurant-bakeries-172955.html,N/A
Al Reef Lebanese Rest & Grills,Al Qusais,"Dubai, UAE",2601,+97142632700,N/A,https://www.yellowpages-uae.com/al-reef-lebanese-rest-grills-128809.html,N/A
Al Reem Trays Restaurant,N/A,"Abu Dhabi, UAE",N/A,+97126668649,N/A,https://www.yellowpages-uae.com/al-reem-trays-restaurant-102722.html,N/A
Al Saad Restaurant,"Al Nakheel, Opp Al Rais Travels","Ras Al Khaimah, UAE",13135,+97172283889,N/A,https://www.yellowpages-uae.com/al-saad-restaurant-139777.html,N/A
Al Safadi Grill & Restaurant,Al Qassimia,"Sharjah, UAE",N/A,+97165751235,N/A,https://www.yellowpages-uae.com/al-safadi-grill-restaurant-147114.html,N/A
Al Safary Restaurant,"Central Market, Dibba Al Hassan","Dibba, UAE",12116,+97192444749,N/A,https://www.yellowpages-uae.com/al-safary-restaurant-59202.html,N/A
Al Safsaf Restaurant,Mussafah 10,"Abu Dhabi, UAE",N/A,+97125522585,N/A,https://www.yellowpages-uae.com/al-safsaf-restaurant-145575.html,N/A
Al Sahil Al Jadeed Restaurant,Abu Shagara,"Sharjah, UAE",N/A,+97165485996,+971566966631,https://www.yellowpages-uae.com/al-sahil-al-jadeed-restaurant-175358.html,N/A
Al Sakab,Shaikh Zayed Road,"Dubai, UAE",N/A,+97143234333,N/A,https://www.yellowpages-uae.com/al-sakab-67333.html,N/A
Al Satwa Garden Restaurant,Satwa,"Dubai, UAE",N/A,+97143290052,N/A,https://www.yellowpages-uae.com/al-satwa-garden-restaurant-147661.html,N/A
Al Shahama Cafeteria,"Muradi Rd, Satwa","Dubai, UAE",N/A,+97143327375,N/A,https://www.yellowpages-uae.com/al-shahama-cafeteria-145694.html,N/A
Al Shaheen Restaurant,Bateen,"Abu Dhabi, UAE",46127,+97126651164,N/A,https://www.yellowpages-uae.com/al-shaheen-restaurant-123136.html,N/A
Al Shaki Restaurant,"Oman Rd, Al Nakheel","Ras Al Khaimah, UAE",11598,+97172288354,N/A,https://www.yellowpages-uae.com/al-shaki-restaurant-138414.html,N/A
Al Sham Rose Restaurant,"Next to Dubai Women's College, Bhnd NMC, Al Qusais","Dubai, UAE",N/A,+97142677917,N/A,https://www.yellowpages-uae.com/al-sham-rose-restaurant-144665.html,N/A
Al Sham Village Restaurant,"Jumeirah Beach Road, Umm Suqeim 2","Dubai, UAE",233485,+97143399517,N/A,https://www.yellowpages-uae.com/al-sham-village-restaurant-175540.html,N/A
Al Shamah Cafeteria,"Near Al Wafa Centre, Muweilah","Sharjah, UAE",N/A,+97165356366,N/A,https://www.yellowpages-uae.com/al-shamah-cafeteria-147659.html,N/A
Al Shameat Restaurant,"Near Al Waheda Post, Jamal Abdel Naser St","Sharjah, UAE",N/A,+97165535505,N/A,https://www.yellowpages-uae.com/al-shameat-restaurant-146794.html,N/A
Al Shami Corner Rest,Jamal Abdul Nasir St,"Sharjah, UAE",N/A,+97165558086,N/A,https://www.yellowpages-uae.com/al-shami-corner-rest-147658.html,N/A
Al Shater Hassan Restaurant,N/A,"Abu Dhabi, UAE",N/A,+97126416616,N/A,https://www.yellowpages-uae.com/al-shater-hassan-restaurant-145666.html,N/A
Al Sheraa Al Dahbi Seafood Restaurant,Khalifa St,"Abu Dhabi, UAE",41230,+97126277204,N/A,https://www.yellowpages-uae.com/al-sheraa-al-dahbi-seafood-restaurant-142541.html,N/A
Al Sheraa Al Dhabi Restaurant,Khalfa Street A Noor Hosptal Bldg.,"Abu Dhabi, UAE",N/A,+971508383454,N/A,https://www.yellowpages-uae.com/al-sheraa-al-dhabi-restaurant-144769.html,N/A
Al Sheraa Dhahabi Sea Food Restaurant,Khalifa St,"Abu Dhabi, UAE",41230,+97126277204,N/A,https://www.yellowpages-uae.com/al-sheraa-dhahabi-sea-food-restaurant-145667.html,N/A
Al Shorafa Restaurant,Bur Dubai,"Dubai, UAE",50589,+97143935678,N/A,https://www.yellowpages-uae.com/al-shorafa-restaurant-121486.html,N/A
Al Shorfa Restaurant And Cafe,Dubai Marina,"Dubai, UAE",238888,+97144525254,N/A,https://www.yellowpages-uae.com/al-shorfa-restaurant-and-cafe-154468.html,N/A
Al Sibtain Restaurant,Old Passport Rd,"Abu Dhabi, UAE",55104,+97126723472,N/A,https://www.yellowpages-uae.com/al-sibtain-restaurant-134171.html,N/A
